SKU,name,uvas,añada,D.O.,tipo_crianza,meses_barrica,tipo_vino,proveedor,final_price,description,descripcion_combinada
VT-EMINA-RESERVA,Vino Tinto EMINA Reserva,Tempranillo,2015,D.O. Ribera del Duero,Reserva,16 meses,Vino Tinto,BODEGA MATARROMERA S.L.,23.95,"Vino Tinto EMINA Reserva
El Vino Tinto EMINA Reserva, vino elaborado con una cuidada selección de uva 100% tempranillo, situadas en Valbuena de Duero, a una altitud entre 750 y 900 metros sobre suelos franco-calizos.
EMINA Reserva, es un vino con la estructura de cálido, amplio y largo con buenas aromas frutas, especias y torrefactos.  Su fermentación es 10-14 días en tanques de acero inoxidable (26ºC) y su crianza 16 meses en barrica y 16 meses en botella.
Las Bodegas EMINA Ribera pertenece al Grupo Matarromera, grupo que lo conforman bodegas de 5 denominaciones de origen distintas, Ribera del Duero, Rueda, Rioja, Toro y Castilla León.
Emina Reserva es un vino elaborado con Tempranillo de fincas situadas en Valbuena y Pesquera de Duero, a una altitud media de 750 metros sobre suelos franco-arcillosos.
Fincas de Los Apriscos, Viñas Rosas, El Almendro, La Hinojera y Valdebaniego. Viñedos situados en las proximidades del Monasterio de Santa María de Valbuena, cuna del nacimiento de la Ribera de Duero donde los monjes cistercienses reintrodujeron el cultivo de la vid en la Edad Media.
Si tiene alguna duda a la hora de comprar Vino Tinto Emina Reserva póngase en contacto con nuestro sumiller y le asesorará sin compromiso.",Tempranillo 2015 D.O. Ribera del Duero Reserva 16 meses Vino Tinto BODEGA MATARROMERA S.L. 23.95
VT-EMINA-ATIO,Vino Tinto EMINA ATIO,Tempranillo,2014,D.O. Ribera del Duero,Crianza,18 meses,Vino Tinto,BODEGA MATARROMERA S.L.,37.9,"Vino Tinto EMINA ATIO
El Vino Tinto EMINA ATIO, Vino de La Bodega EMINA. ATIO es un vino elaborado a partir de la variedad Tempranillo procedente del PGO del Horno  (Valbuena de Duero), tierra muy caliza de elevada altitud. La vendimia de EMINA ATIO se realiza bajo doble selección de uva; en campo y bodega.
EMINA ATIO esta fermentado en depósitos de acero inoxidable y maceración de 21 días.  La Fermentación es maloláctica en barrica y está criado en barricas de roble francés procedentes de bosque Allier producido con la técnica de Monte Alto. EMINA ATIO estrenó barrica dos veces: la de su crianza durante 16 meses y una nueva 2 meses antes de su embotellado. Esta Añada tiene un gran potencial de guarda.
Las Bodegas EMINA Ribera pertenece al Grupo Matarromera, grupo que lo conforman bodegas de 5 denominaciones de origen distintas, Ribera del Duero, Rueda, Rioja, Toro y Castilla León.
Emina ATIO es un vino elaborado con Tempranillo de fincas situadas en Valbuena de Duero una altitud media de 820-870m metros sobre suelos franco-calizo.
Si tiene alguna duda a la hora de comprar Vino Tinto EMINA ATIO póngase en contacto con nuestro sumiller y le asesorará sin compromiso.",Tempranillo 2014 D.O. Ribera del Duero Crianza 18 meses Vino Tinto BODEGA MATARROMERA S.L. 37.9
VB-MATARROMERA-FERMENTADO-EN-BARRICA,Vino Blanco Matarromera Fermentado en Barrica,Verdejo,2016,D.O. Rueda,Fermentado en Barrica,6 meses,Vino Blanco,BODEGA MATARROMERA S.L.,26.95,"Vino Blanco Matarromera Fermentado en Barrica
 
Vino blanco monovarietal elaborado con la variedad de uva 100% verdejo, procedente de viñedos en Valdestillas corazón de la D.O Rueda, a la cual pertenece este vino.
Es un vino blanco fermentado en barrica digno de la Bodega Matarromera.
La crianza de este vino se lleva a cabo durante 6 meses en barricas de roble y posteriormente pasa 6 meses en botella donde se termina de redondear.
La temperatura óptima de  consumo de este vino está entre los 6 y 8ºC. 
Si tiene alguna duda a la hora de comprar el Vino Blanco Matarromera Fermentado en Barrica, póngase en contacto con el sumiller de nuestra tienda onlien que le asesorará sin ningún compromiso.",Verdejo 2016 D.O. Rueda Fermentado en Barrica 6 meses Vino Blanco BODEGA MATARROMERA S.L. 26.95
VT-EMINA-RESERVA-MAGNUM,"Vino Tinto EMINA Reserva Magnum 1,5L.",Tempranillo,2014,D.O.C. Rioja,Reserva,16 meses,Vino Tinto,BODEGA MATARROMERA S.L.,60.0,"Vino Tinto EMINA Reserva Mágnum
El Vino Tinto EMINA Reserva Mágnum, vino elaborado con una cuidada selección de uva 100% tempranillo, situadas en Valbuena de Duero, a una altitud entre 750 y 900 metros sobre suelos franco-calizos.
EMINA Reserva Mágnum, es un vino con la estructura de cálido, amplio y largo con buenas aromas frutas, especias y torrefactos.  Su fermentación es 10-14 días en tanques de acero inoxidable (26ºC) y su crianza 16 meses en barrica y 16 meses en botella.
Las Bodegas EMINA Ribera pertenece al Grupo Matarromera, grupo que lo conforman bodegas de 5 denominaciones de origen distintas, Ribera del Duero, Rueda, Rioja, Toro y Castilla León.
Emina Reserva Mágnum es un vino elaborado con Tempranillo de fincas situadas en Valbuena y Pesquera de Duero, a una altitud media de 750 metros sobre suelos franco-arcillosos.
Fincas de Los Apriscos, Viñas Rosas, El Almendro, La Hinojera y Valdebaniego. Viñedos situados en las proximidades del Monasterio de Santa María de Valbuena, cuna del nacimiento de la Ribera de Duero donde los monjes cistercienses reintrodujeron el cultivo de la vid en la Edad Media.
Si tiene alguna duda a la hora de comprar Vino Tinto Emina Reserva Mágnum póngase en contacto con nuestro sumiller y le asesorará sin compromiso.",Tempranillo 2014 D.O.C. Rioja Reserva 16 meses Vino Tinto BODEGA MATARROMERA S.L. 60.0
VT-WIN-E-CRIANZA,Vino Tinto Sin Alcohol Win-e 0 Crianza,Tempranillo,Sin Añada,Sin D.O.,Crianza,12 meses,Vino Tinto,BODEGA MATARROMERA S.L.,11.7,"El Vino Tinto Sin Alcohol Win-e 0 Crianza es un vino desalcoholizado (0% vol. alcohol); forma parte del grupo Matarromera, elaborado con uvas de variedad tempranllo. Éste, es un producto saludable no contiene alcohol que incluso ayuda a mantener tu dieta por su bajo contenido de calorías.
Proceso de elaboraciónEl proceso de elaboración comienza en el propio viñedo, por medio de distintos tratamientos vitivinícolas con el objetivo de obtener uvas con bajo grado alcohólico. Este vino se la realiza con maceración media, luego se realiza la extracción del alcohol etílico por medio de un método sofisticado y altamente atento con el producto. El El Vino Tinto Sin Alcohol Win-e 0 Crianza se lo produce únicamente con uvas de variedad Tempranillo, no envejecido y tuvo una fermentación alcohólica en tanques de acero inoxidable, además un envejecimiento de 12 meses en barrica.",Tempranillo Sin Añada Sin D.O. Crianza 12 meses Vino Tinto BODEGA MATARROMERA S.L. 11.7
VT-MELIOR-ROBLE-MAGNUM,Vino Tinto Melior Roble de Matarromera Magnum,Tempranillo,2021,D.O. Ribera del Duero,Roble,6 meses,Vino Tinto,BODEGA MATARROMERA S.L.,14.4,"VINO TINTO MELIOR ROBLE DE MATARROMERA MAGNUM
El vino tinto Melior Roble de Matarromera elaborado con 100% Tempranillo y perteneciente a la D.O. Ribera del Duero. 
Elaborado con uvas rigurosamente seleccionadas de la variedad tempranillo de la zona de Valbuena de Duero y Olivares de Duero. Ha fermentado a temperatura controlada, permaneciendo durante 6 meses en barricas nuevas y reposando posteriormente en botella. 
Servir este vino a una temperatura entre 16º y 18º. 
Si tiene alguna duda a la hora de comprar Vino tinto Melior Roble de Matarromera, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso. ",Tempranillo 2021 D.O. Ribera del Duero Roble 6 meses Vino Tinto BODEGA MATARROMERA S.L. 14.4
VD-EMINA-OXTO,Vino Dulce Emina Oxto,Tempranillo,Sin Añada,Sin D.O.,Criaderas y Soleras,36 meses,Vino Tinto,BODEGA MATARROMERA S.L.,12.35,"Vino Dulce Emina Oxto
El Vino Tinto Emina Oxto, elaborado 100% con uva tempranillo, ha sido ligeramente fermentado y mezclado con aguardiente, para posteriormente ser llevado a barricas de roble americano para su envejecimiento durante tres años.
Oxto, es una bodega independiente al edificio Emina, siendo el primer vino fortificado del Duero. Su fermentación se realiza en 10-14 días en tanques de acero inoxidable (16ºC) con una crianza de 36 meses en barrica de roble americano para su envejecimiento.
Emina Oxto es un vino elaborado con Tempranillo de fincas situadas en Valbuena de Duero una altitud media de 850m metros sobre suelos franco areno arcilloso.
Si tiene alguna duda a la hora de comprar Vino Tinto Emina Oxto póngase en contacto con nuestro sumiller y le asesorará sin compromiso.",Tempranillo Sin Añada Sin D.O. Criaderas y Soleras 36 meses Vino Tinto BODEGA MATARROMERA S.L. 12.35
VB-LIBERSO,Vino Blanco Liberso Curioso Verdejo,Verdejo,2016,D.O. Rueda,Fermentado en Barrica,6 meses,Vino Blanco,BODEGAS DE CRIANZA DE POZALDEZ SL,16.9,"Vino Blanco Liberso Curioso Verdejo
El Vino Blanco Liberso es un vino perteneciente a la denominación de origen  Rueda con variedad de uva 100% Verdejo.
El Vino Blanco Liberso es el primer vino de esta bodega, curioso, diferente, fruto de las ganas de descubrir los límites de una variedad tan polivalente como la verdejo.
Para conseguir el Vino Blanco Liberso elaboraron 18 vinos diferentes; el primero de ellos en un depósito de acero inoxidable a temperatura controlada y criado con sus lías durante 6 meses para conservar su naturalidad. Por otro lado, elaboramos individualmente 17 vinos fermentados y criados durante 6 meses en barrica de roble francés, americano y húngaro de 12 de los mejores toneleros del mundo y en 3 volúmenes diferentes 225, 300 y 500 litros.
En esta cosecha elaboraron 15.000 botellas para poder controlar todos los parámetros de calidad de Liberso con criterios de máxima exigencia.
Si tiene alguna duda a la hora de comprar Vino Blanco Liberso Curioso Verdejo, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Verdejo 2016 D.O. Rueda Fermentado en Barrica 6 meses Vino Blanco BODEGAS DE CRIANZA DE POZALDEZ SL 16.9
VT-MATARROMERA-PAGO-SOLANAS,Vino Tinto Matarromera Pago Solanas,Tempranillo,2010,D.O. Ribera del Duero,Reserva,21 meses,Vino Tinto,BODEGA MATARROMERA S.L.,237.1,"Vino Tinto Matarromera Pago Solanas
El Vino Tinto Matarromera Pago Solana, excelente vino tinto de pago exclusivamente con las uvas de único viñedo. Pago Solanas es un tinto de producción Limitada (unas 2,600 botellas).
Pago de Solanas es uno de los grandes que ha obtenido más puntuaciones por parte de los críticos, demostrado en los 95 puntos de la revista The Wine Advocate.
Exclusivo y único así lo definen, con excelente añada de uvas procedentes de un pago 100% Tempranillo específico y emblemático: el Pago de las Solanas, cuyos racimos son seleccionados y desgranados manualmente uva a uva. 
Su fermentación es de 10-14 días en tanques de acero inoxidable (28ºC) y posteriormente descansa 21 meses en barricas nuevas de roble francés de las más prestigiosas tonelerías.
Si tiene alguna duda a la hora de comprar Vino Tinto Matarromera Pagos Solanas, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Tempranillo 2010 D.O. Ribera del Duero Reserva 21 meses Vino Tinto BODEGA MATARROMERA S.L. 237.1
VT-MATARROMERA-GRAN-RESERVA,Vino Tinto Matarromera Gran Reserva,Tempranillo,2013,D.O. Ribera del Duero,Gran Reserva,24 meses,Vino Tinto,BODEGA MATARROMERA S.L.,85.25,"Vino Tinto Matarromera Gran Reserva
El Vino Tinto Matarromera Gran Reserva, uno de los vinos ejemplares de las Bodegas Familiares Matarromera y reconocido a nivel internacional. Con D.O. Ribera del Duero - Valbuena de Duero - Valladolid, es un vino elaborado con uva 100% Tempranillo.
Matarromera Gran Reserva es un vino producido con uvas de cepas antiguas, fermentado durante 10-14 días en tanques de acero inoxidable (28ºC) es un vino envejecido en barricas de roble americano y francés durante 24 meses y luego queda en la botella un mínimo de 36 meses antes de su comercialización.
Matarromera Gran Reserva es un tinto elegante y con potencial de guarda elaborado al más puro estilo de los grandes tintos de la Ribera del Duero.
Si tiene alguna duda a la hora de comprar Vino Tinto Matarromera Gran Reserva, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.
 ",Tempranillo 2013 D.O. Ribera del Duero Gran Reserva 24 meses Vino Tinto BODEGA MATARROMERA S.L. 85.25
VT-MELIOR-3-CRIANZA,Vino Tinto Melior 3 Crianza,Tempranillo,2016,V.T. Castilla y León,Crianza,12 meses,Vino Tinto,BODEGA MATARROMERA S.L.,13.5,"Vino Tinto Melior 3 Crianza
 
Es un vino de autor que se elabora con un coupage de uvas de variedad Tempranillo y Tinta de Toro, por la Bodega Matarromera. Este vino pertenece a V.T Castilla y León.
 
La vendimia con doble selección en viñedo y bodega, este vino posteriormente realizar su crianza durante 12 meses en barrica de roble americano y francés.
 
La temperatura ideal de consumo de este vino oscila entre los 16 y 18ºC.
 
Si tiene alguna duda a la hora comprar Vino Tinto Melior 3 Crianza, póngase en contacto con el sumiller de nuestra tienda online que le asesorará sin ningún compromiso.
 
 
 ",Tempranillo 2016 V.T. Castilla y León Crianza 12 meses Vino Tinto BODEGA MATARROMERA S.L. 13.5
VT-MATARROMERA-PRESTIGIO,Vino Tinto Matarromera Prestigio,Tempranillo,2015,D.O. Ribera del Duero,Reserva,18 meses,Vino Tinto,BODEGA MATARROMERA S.L.,54.34,"Vino Tinto Matarromera Prestigio
 
Es un monovarietal elaborado por la Bodega Matarromera con uvas de la variedad 100% Tempranillo procedentes de viñedos de la finca Pago de las Solanas. Este vino perteneciente a la D.O Ribera del Duero nace aquellos años que la uva y la añada alcanza la calidad exigida por la Bodega Matarromera.
 
La crianza se lleva a cabo durante 9 meses en barricas francesas de Allier, posteriormente pasa otros 9 meses en barricas nuevas de roble americano, la última fase de la crianza se realiza durante 24 meses en una botella troncocónica, oscura, pesada, y un tapón natural.
 
La temperatura ideal de consumo de este vino esta entre los 16ºC y 18ºC.
 
Si tiene alguna duda a la hora de comprar el Vino Tinto Matarromera Prestigio, póngase en contacto con el sumiller de nuestra tienda online póngase en contacto con el sumiller de nuestra tienda online.",Tempranillo 2015 D.O. Ribera del Duero Reserva 18 meses Vino Tinto BODEGA MATARROMERA S.L. 54.34
VB-HEREDAD-EMINA-CHARDONNAY-BARRICA,Vino Blanco Heredad de Emina Chardonnay Barrica,Chardonnay,2008,V.T. Castilla y León,Joven,6 meses,Vino Blanco,BODEGA MATARROMERA S.L.,13.65,"Vino Blanco Heredad de Emina Chardonnay Barrica
El Vino Blanco Heredad de Emina Chardonnay Barrica, elaborado con la mejor uva de la citada variedad procedente de viñedos propios de Matarromera en Villalba de Adaja, Terreno que tienen la particularidad de ser suelo franco-arenoso, con una producción de 5000 cepas por hectáreas.
Su Fomentación es de 10-14 días en tanques de acero inoxidable (16ºC)
Este vino antes de salir al mercado pasa seis meses en barrica y seis meses en botella.
Su graduación alcohólica es de 13.5%, recomendamos para su buen disfrute consumir a temperatura de 6-8º C.
Si tiene alguna duda a la hora de comprar Vino Blanco Heredad de Emina Chardonnay póngase en contacto con nuestro sumiller y le asesorará sin compromiso.",Chardonnay 2008 V.T. Castilla y León Joven 6 meses Vino Blanco BODEGA MATARROMERA S.L. 13.65
VT-GRANZA-ROBLE-ECOLOGICO,Vino Tinto Granza Roble Ecológico,Tempranillo,2019,D.O. Ribera del Duero,Joven,4 meses,Vino Tinto,BODEGA MATARROMERA S.L.,9.25,"Vino Tinto Granza Roble Ecológico
El Vino Tinto Granza Roble Ecológico es un vino tinto perteneciente a la Denominación de Origen Ribera del Duero, con una variedad de uva 100% Tempranillo.
Se trata de un vino exclusivo y de producción limitada, criado durante más de 4 meses en barricas de roble americano, y al menos 4 meses en botella para afinarlo y redondearlo. Las uvas proceden de los viñedos ecológicos de La Nava y el Hito Corto.
Si tiene alguna duda a la hora de comprar Vino Tinto Granza Roble Ecológico póngase en contacto con el sumiller de nuestra tienda online que le asesorará sin ningún compromiso.
 ",Tempranillo 2019 D.O. Ribera del Duero Joven 4 meses Vino Tinto BODEGA MATARROMERA S.L. 9.25
VT-GRANZA-ROBLE-TORO-ECOLOGICO,Vino Tinto Granza Roble Toro Ecologico,Tinta de Toro,2020,D.O. Toro,Roble,6 meses,Vino Tinto,BODEGA MATARROMERA S.L.,9.25,"Vino Tinto Granza Roble Toro Ecológico
El Vino Tinto Granza Roble Toro Ecológico es un vino tinto perteneciente a la Denominación de Origen Toro, con una variedad de uva 100% Tinta de Toro
Se trata de un vino de producción limitada, criado durante al menos 6 meses en barricas de roble americano, permaneciendo además otros 6 meses en botella con el objeto de mejorar y redondear su fuerte estructura. Las uvas proceden de un viñedo natural y ecológico en el que se realiza un cultivo tradicional y artesanal. Este vino ecológico procede de nuestras uvas de la variedad Tinta de Toro de agricultura ecológica del Pago de la Calera (D.O. Toro).
Si tiene alguna duda a la hora de comprar Vino Tinto Granza Roble Toro Ecológico póngase en contacto con el sumiller de nuestra tienda online que le asesorará sin ningún compromiso.
 ",Tinta de Toro 2020 D.O. Toro Roble 6 meses Vino Tinto BODEGA MATARROMERA S.L. 9.25
VT-ADOBE-RESERVA-EMILIANA-ORGANIC-VINEYARD-CARMENERE,Vino Tinto Adobe Reserva Emiliana Organic Vineyards Carmenere,Carmenere,2020,Colchagua Valley - Chile,Reserva,6 meses,Vino Tinto,TERRA AUSTRALIS IMPORT EXPORT S.L.,11.7,"El vino tinto Adobe Reserva Emiliana Organic Carmenere es un producto procedente de Chile, elaborado con uva de variedad 100% Carmenere; se caracteriza por ser un vino orgánico y biodinámico, ayudando a preservar la armonía natural de la vida y del medio ambiente; produciendo de esta manera vinos sanos, únicos y de la mejor calidad.
Proceso de elaboración
El Adobe Reserva es elaborado con uvas orgánicas de variedad carmenere de viñedos propios, tiene como origen los mejores valles de Chile; para que este vino tenga un sabor suave con un toque de acidez, se guarda el 20% en barrica francesa durante 6 meses.
Historia
Chile tiene un sin número de ventajas para la cosecha orgánica, comenzó como una iniciativa, que tras más de dos décadas estos viñedos cubren varias regiones. El nombre Adobe viene dado a que en Chile, el adobe es un material que se usa para la construcción, que actualmente es uno de los principales soportes de la bodega.
Si tiene alguna duda a la hora de comprar el vino blanco Adobe Reserva Emiliana Organic Carmenere, póngase en contacto con nuestro sumiller y le asesorará sin compromiso. ",Carmenere 2020 Colchagua Valley - Chile Reserva 6 meses Vino Tinto TERRA AUSTRALIS IMPORT EXPORT S.L. 11.7
VT-CALICANTO-VINA-EL-PRINCIPAL,Vino Tinto Calicanto Viña El Principal,Carmenere,2016,Maipo Valley - Chile,Otros,12 meses,Vino Tinto,TERRA AUSTRALIS IMPORT EXPORT S.L.,24.1,"Vino Tinto Calicanto Viña El Principal,
El Vino Tinto Calicanto Viña El Principal, elaborado con varias composiciones de cepas tintas proveniente de Andetelmo, cuya distinción de caracteres son fresco y frutal, contiene notas especiadas y toninos sedosos y pulidos.
Su nombre de calicanto proveniente del primer puente construido en la ciudad de Santiago, sobre el Río Mapocho entre 1767-1782.
Calicanto simboliza la unión de la tradición y modernidad, comprometidos en producir vinos de la más alta calidad que expresen el alma del terroir chileno a través de las cepas francesas plantadas en nuestros viñedos.
Maceración (8º C): 4 días
Fermentación Alc.: 6 días Maceración Post Fermentación.: 10 días Envejecimiento: 12 meses, 100% Roble francés
Composición: 57 % Cabernet Sauvignon, 18% Carménère, 9% Syrah, 9% PetitVerdot, 7% Cabernet Franc
Si tiene alguna duda a la hora de comprar VINO TINTO CALICANTO VIÑA EL PRINCIPAL, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso.",Carmenere 2016 Maipo Valley - Chile Otros 12 meses Vino Tinto TERRA AUSTRALIS IMPORT EXPORT S.L. 24.1
VT-FINCA-RESALSO-MAGNUM,Vino Tinto Finca Resalso Mágnum,Tinto Fino,2021,D.O. Ribera del Duero,Roble,4 meses,Vino Tinto,D.E.R. NAVARRO S.A.,20.6,"Vino Tinto Finca Resalso Mágnum
Este vino es un monovarital con uva 100% Tinto fino por Bodegas Emilio moro. Pertenece a la D.O. Ribera del Duero. 
El nombre de este vino, se debe a la finca donde se ubican los viñedos de los que proviene la uva, un viñedo histórico que se plantó en 1933, año del nacimiento de Emilio Moro. 
La crianza de vino tinto Finca Resalso Mágnum se lleva a cabo durante 4 meses en barricas de roble francés y roble americano.
La temperatura ideal para servir este vino está entre los 16º y los 18º.
Si tiene alguna duda a la hora de comprar Vino Tinto Finca Resalso Mágnum, póngase en contacto con el sumiller de nuestra tienda online de vinos y le asesorará sin compromiso. ",Tinto Fino 2021 D.O. Ribera del Duero Roble 4 meses Vino Tinto D.E.R. NAVARRO S.A. 20.6
VINO-TINTO-LAR-DE-PAULA-MADURADO,Vino Tinto Lar de Paula Madurado,Tempranillo,2020,D.O.C. Rioja,Roble,6 meses,Vino Tinto,"BODEGAS HEREDAD DE BAROJA, S.L.",5.54,"Vino Tinto Lar de Paula Madurado
Este vino está elaborado por la Bodega Lar de Paula, es un monovarietal elaborado por uva 100% Tempranillo. Perteneciente a la D.O.Ca Rioja.
 
Las uvas con las que se elabora este vino proceden de viñedos de más de 20 años ubicados en suelos arcillosos.
 
La crianza de este vino se lleva a cabo durante 6 meses en barricas de roble francés posteriormente pasa en botella el tiempo que el enólogo estima oportuno antes de su comercialización.
 
Si tiene alguna duda a la hora de comprar el Vino Tinto Lar de Paula Madurado, póngase en contacto con el sumiller de nuestra tienda online que le asesorará sin compromiso.","Tempranillo 2020 D.O.C. Rioja Roble 6 meses Vino Tinto BODEGAS HEREDAD DE BAROJA, S.L. 5.54"
VT-LAR-DE-PAULA-CRIANZA,Vino Tinto Lar de Paula Crianza,Tempranillo,2017,D.O.C. Rioja,Crianza,14 meses,Vino Tinto,"BODEGAS HEREDAD DE BAROJA, S.L.",8.95,"El Vino Tinto Lar de Paula Crianza esta elaborado por la Bodega Lar de Paula y posee una variedad de uva 100% Tempranillo. Este vino pertenece a la D.O.Ca Rioja.
Los viñedos de los que procede la uva con la que se elabora este vino tienen más de 30 años de antigüedad y están ubicados en suelos arcillosos.
La crianza de este vino se lleva a cabo durante 14 meses en barricas de roble francés y americano, posteriormente pasa como mínimo 6 meses en botella antes de su comercialización.
Si tiene alguna duda a la hora de comprar el Vino Tinto Lar de Paula Crianza, póngase en contacto con el sumiller de nuestra tienda online que le asesorará sin compromiso.","Tempranillo 2017 D.O.C. Rioja Crianza 14 meses Vino Tinto BODEGAS HEREDAD DE BAROJA, S.L. 8.95"
VT-LAR-DE-PAULA-RESERVA-ESPECIAL,Vino Tinto Lar de Paula Reserva Especial,Tempranillo,2016,D.O.C. Rioja,Crianza,14 meses,Vino Tinto,"BODEGAS HEREDAD DE BAROJA, S.L.",11.75,"Vino Tinto Lar de Paula Reserva Especial
 
Monovarietal elaborado con uva de la variedad tempranillo 100%, por la Bodega Lar de Paula, perteneciente a la D.O.Ca Rioja.
 
Los viñedos de los que proceden las uvas con las que se elaboran este vino tienen una antigüedad de más de 40 años.
 
La crianza de este vino se lleva a cabo durante  26 meses en barricas de roble europeo y americano.
 
SI tiene alguna duda a la hora de comprar Vino Tinto Lar de Paula Reserva Especial, póngase en contacto con el sumiller de nuestra tienda online que le asesorará sin ningún compromiso.
 
 
 
 
 
 
 
 
 
 
 
 
 
 ","Tempranillo 2016 D.O.C. Rioja Crianza 14 meses Vino Tinto BODEGAS HEREDAD DE BAROJA, S.L. 11.75"
VR-LAR-DE-PAULA-ROSE,Vino Rosado Lar de Paula Rosé,Tempranillo,2020,D.O.C. Rioja,Joven,Sin paso por barrica,Vino Rosado,"BODEGAS HEREDAD DE BAROJA, S.L.",6.45,"

Vino Rosado Lar de Paula Rosé
 
Monovarietal elaborado con uvas de la variedad Tempranillo 100% por la Bodega Lar de Paula, perteneciente a la D.O.Ca Rioja.
 
Los viñedos de los que procede la uva para elaborar este vinop tienen una edad media de 40 años y están situados a una gran altitud,en el corazón de la Rioja Alavesa. Los viñedos se encuentran protegidos al norte por la Sierra Cantabria y delimitados al sur por el río Ebro.
 


La elaboración de este vino se lleva a cabo en depositos de acero inoxidable.
 
Si tiene alguna duda  ala hora de comprar el Vino Rosado Lar de Paula Rosé, póngase en contacto con el sumiller de nuestra tienda online que le asesorará sin ningún compromiso.","Tempranillo 2020 D.O.C. Rioja Joven Sin paso por barrica Vino Rosado BODEGAS HEREDAD DE BAROJA, S.L. 6.45"
VB-LAR-DE-PAULA-FERMENTADO-EN-BARRICA,Vino Blanco Lar de Paula Fermentado en Barrica,Malvasía|Viura,2019,D.O.C. Rioja,Fermentado en Barrica,3 meses,Vino Blanco,"BODEGAS HEREDAD DE BAROJA, S.L.",6.89,"Vino Blanco Lar de Paula Fermentado en Barrica
 
Vino blanco elaborado con uvas de la variedad Malvasia y Viura, por la bodega Lar de Paula, perteneciente a la D.O.Ca Rioja.
 
Los viñedos de los que procede la uva tienen una antigüedad de 50 años y están ubicados a una gran altura.
 
La fermentación de este vino se realiza en barrica nueva de roble francés y americano durante 90 días, posteriormente permanecerá en botella alrededor de 6 meses antes de su comercialización.
 
 
Si tiene alguna duda a la hora de comprar el Vino Blanco Lar de Paula Fermentado en Barrica, póngase en contacto al sumiller de nuestra tienda online que le asesorará sin ningún compromiso.","Malvasía|Viura 2019 D.O.C. Rioja Fermentado en Barrica 3 meses Vino Blanco BODEGAS HEREDAD DE BAROJA, S.L. 6.89"
VT-LAR-DE-PAULA-CRIANZA-EDICION-LIMITADA,Vino Tinto Lar de Paula Crianza Edición Límitada,Tempranillo,2017,D.O.C. Rioja,Crianza,15 meses,Vino Tinto,"BODEGAS HEREDAD DE BAROJA, S.L.",9.95,"Vino Tinto Lar de Paula Crianza Edición Límitada
 
Monovarietal elaborado con uva de la variedad tempranillo 100% por la Bodega Lar de Paula, perteneciente a la D.O.Ca Rioja.
 
Las uvas con las que se elabora este vino proceden de viñedos de más de 50 años de antigüedad ubicadas a unos 625 metros de altitud.
 
La crianza de este vino se lleva a cabo en barricas de roble francés y americano durante 15 meses, posteriormente se embotella donde el vino termina de redondearse hasta su comercialización.
 
Si tiene alguna duda a la hora de comprar Vino Tinto Lar de Paula Crianza Edición Límitada, póngase en contacto con el sumiller de nuestra tienda online que le asesorará sin compromiso.  ","Tempranillo 2017 D.O.C. Rioja Crianza 15 meses Vino Tinto BODEGAS HEREDAD DE BAROJA, S.L. 9.95"
VT-LAR-DE-PAULA-RESERVA-EDICION-LIMITADA,Vino Tinto Lar de Paula Reserva Edición Limitada,Tempranillo,2014,D.O.C. Rioja,Reserva,24 meses,Vino Tinto,"BODEGAS HEREDAD DE BAROJA, S.L.",13.46,"Vino Tinto Lar de Paula Reserva Edición Limitada
 
Monovarietal elaborado con uva 100% Tempranillo por La Bodega Lar de Paula, perteneciente a la D.O.Ca Rioja. 
Procedente de viñedos de más de 70 años de edad ubicados a 625 metros de altura.
 
La crianza de este vino se llava a cabo en barricas de roble francés y americano durante 24 meses terminando la crianza durante unos meses en botellero hasta su comercialización.
 
Si tiene alguna duda a la hora de comprar el Vino Tinto Lar de Paula Reserva Edición Limitada, póngase en contacto con el sumiller de nuestra tienda online y le asesorará sin compromiso.
 
 
 ","Tempranillo 2014 D.O.C. Rioja Reserva 24 meses Vino Tinto BODEGAS HEREDAD DE BAROJA, S.L. 13.46"
