SKU,name,description,final_price,uvas,proveedor,añada,D.O.,tipo_crianza,meses_barrica,tipo_vino
VINO-TINTO-EQUILIBRIO-4-MESES,Vino Tinto Equilibrio 4 Meses,"<p>El <strong>Vino Tinto Equilibrio 4 Meses</strong> de la <strong>Bodega Sierra Norte</strong> está elaborado a partir de uvas <strong>100% Monastrell</strong> de viñedos de más de 25 años situados en el paraje de La Raja-Casa del Olmo.</p>
<p>Tras la maceración prefermentativa a baja temperatura (16ºC) durante 4 días, el vino tuvo una fermentación controlada a 25ºC durante otros 8 días más hasta el momento del descube. Posteriormete el vino tuvo una <strong>crianza mixta durante 4 meses</strong> en barricas de segundo llenado, roble americano 70% y 30% de roble francés.</p>
<p>La <strong>Bodega Sierra Norte</strong> se caracteriza por su apuesta por el cultivo de uvas autóctonas mediterráneas, como la Bobal y Monastrell, entre otras. Ésta selecciona y trabaja los viñedos de una forma equilibrada, respetuosa y sostenible. Los viñedos se cultivan a 900 metros de altitud, y unido al carácter activo de los suelos de cultivo y sus buenas condiciones biológicas, se favorece la asimilación de materia orgánica, lo que le permite extraer de ellos toda su expresión.</p>
<p>El <strong>Vino Tinto Equilibrio 4 Meses</strong> posee una graduación alcohólica de 14,5%Vol. Se recomienda servir a una temperatura de 16 a 18ºC para disfrutar de todos los matices del vino.</p>
<p>Si tiene alguna duda a la hora de comprar el <strong>Vino Tinto Equilibrio 4 Meses</strong> no dude en ponerse en contacto con nuestro sumiller y le asesorará sin compromiso.</p>",6.6,Monastrell,"Atocha Vallecas, S.L.",2018,D.O. Jumilla,Crianza,4 meses,Vino Tinto
VT-EQUILIBRIO-9-MESES,Vino Tinto Equilibrio 9,"<p>El <strong>Vino Tinto Equilibrio 9</strong> de la Bodega Sierra Norte est&aacute; elaborado a partir de uvas <strong>100% Monastrell</strong> de vi&ntilde;edos de m&aacute;s de 40 a&ntilde;os situados en el paraje de La Raja-Casa del Olmo.</p>
<p>La vendimia de la variedad Monastrell se realiza de forma manual, seleccionando aquellos racimos de calidad que aporten acidez, estructura y vivacidad al vino. Maceraci&oacute;n prefermentativa a baja temperatura (16&ordm;C) durante 4 d&iacute;as, fermentaci&oacute;n controlada a 24&ordm;C durante otros 10 d&iacute;as m&aacute;s hasta el momento del descube. Posteriormente, el vino tuvo una <strong>crianza mixta</strong> en barricas de segundo llenado de roble franc&eacute;s y roble americano durante <strong>9 meses</strong>.</p>
<p>La <strong>Bodega Sierra Norte</strong> se caracteriza por su apuesta por el cultivo de uvas aut&oacute;ctonas mediterr&aacute;neas, como la Bobal y Monastrell, entre otras. &Eacute;sta selecciona y trabaja los vi&ntilde;edos de una forma equilibrada, respetuosa y sostenible. Los vi&ntilde;edos se cultivan a 900 metros de altitud, y unido al car&aacute;cter activo de los suelos de cultivo y sus buenas condiciones biol&oacute;gicas, se favorece la asimilaci&oacute;n de materia org&aacute;nica, lo que le permite extraer de ellos toda su expresi&oacute;n.</p>
<p>El <strong>Vino Tinto Equilibrio 9</strong> posee una graduaci&oacute;n alcoh&oacute;lica de 14,5%Vol. Se recomienda servir a una temperatura de 16 a 18&ordm;C para disfrutar de todos los matices del vino.</p>
<p>Si tiene alguna duda a la hora de comprar el <strong>Vino Tinto Equilibrio 9</strong> no dude en ponerse en contacto con nuestro sumiller y le asesorar&aacute; sin compromiso.</p>",8.7,Monastrell,"Atocha Vallecas, S.L.",2020,D.O. Jumilla,Crianza,9 meses,Vino Tinto
VT-MONTE-REAL-FAMILIA-CRIANZA,Vino Tinto Monte Real Crianza de Familia,"<p><strong>Vino Tinto Monte Real de Familia Crianza</strong></p>
<p><strong>Vino Tinto Monte Real de Familia Crianza</strong>&nbsp;est&aacute; elaborado a partir de uva <strong>Tempranillo 100%</strong>, procedente de Cenicero y es de la <strong>D.O.Ca. Rioja</strong>.</p>
<p>De la mano de<strong> Bodegas Riojanas</strong> han elaborado un <strong>vino tinto</strong> con crianza de complejidad y cuerpo que encarna el alma de rioja.</p>
<p>El proceso de vinificaci&oacute;n del <strong>Vino Tinto Monte Real de Familia Crianza&nbsp;</strong>es la cl&aacute;sica con uvas despalilladas y estrujadas con las nuevas tecnolog&iacute;as de fermentaci&oacute;n y largas maceraciones. Posteriormente se realiza una crianza de 18 meses en barricas de roble americano con la realizaci&oacute;n de las oportunas trasiegas y su estabilizaci&oacute;n natural. Botellero m&iacute;nimo de 6 meses antes de su comercializaci&oacute;n.</p>
<p class=""Default"">Si tiene alguna duda a la hora de <strong>comprar <strong>Vino Tinto Monte Real de Familia Crianza</strong></strong>&nbsp;consulte con nuestro sumiller y le asesorar&aacute; sin ning&uacute;n compromiso.</p>",12.0,Tempranillo,BODEGAS RIOJANAS S.A.,2018,D.O.C. Rioja,Crianza,18 meses,Vino Tinto
VT-PUERTA-VIEJA-CRIANZA-SELECC,Vino Tinto Puerta Vieja Crianza Selección,"<p>El <strong>Vino Tinto Puerta Vieja Crianza Selecci&oacute;n</strong> de las Bodegas Riojanas es un crianza cl&aacute;sico elaborado a partir de uvas de la variedad <strong>Tempranillo</strong> 100% despalilladas y estrujadas con m&eacute;todos modernos e innovadores de fermentaci&oacute;n y maceraci&oacute;n.</p>
<p>Posteriormente este vino ha tenido una crianza de 18 meses en barricas nuevas de roble americano y otros 6 meses de reposo en botella antes de su comercializaci&oacute;n.</p>
<p>Si tiene alguna duda a la hora de comprar <strong>Vino Tinto Puerta Vieja Crianza Selecci&oacute;n</strong>, no dude en ponerse en contacto con el sumiller de nuestra tienda y le asesorar&aacute; sin compromiso.</p>",5.85,Tempranillo,BODEGAS RIOJANAS S.A.,2021,D.O.C. Rioja,Fermentado en Barrica,18 meses,Vino Tinto
VT-PUERTA-VIEJA-CRIANZA,Vino Tinto Puerta Vieja Crianza,"<p>El <strong>Vino Tinto Puerta Vieja Crianza</strong> de las Bodegas Riojanas es un crianza cl&aacute;sico elaborado a partir de uvas de la variedad <strong>Tempranillo</strong> 80%, <strong>Mazuelo</strong> 15% y <strong>Graciano</strong> 5%,&nbsp; despalilladas y estrujadas con m&eacute;todos modernos e innovadores de fermentaci&oacute;n y maceraci&oacute;n.</p>
<p>Este vino ha tenido una crianza de 18 meses en barricas nuevas de roble americano y otros 6 meses de reposo en botella antes de su comercializaci&oacute;n.</p>
<p>Se recomienda servir este vino a una temperatura de entre 15&ordm; y 18&ordm;C.</p>
<p>&nbsp;</p>
<p>Si tiene alguna duda a la hora de comprar <strong>Vino Tinto Puerta Vieja Crianza</strong>, no dude en ponerse en contacto con el sumiller de nuestra tienda y le asesorar&aacute; sin compromiso.</p>",6.35,Tempranillo,BODEGAS RIOJANAS S.A.,2018,D.O.C. Rioja,Fermentado en Barrica,18 meses,Vino Tinto
VT-PUERTA-VIEJA-CRIANZA-SELECCION-MAGNUM,Vino Tinto Puerta Vieja Crianza Selección Magnum,"<p>El <strong>Vino Tinto Puerta Vieja Crianza Selecci&oacute;n Magnum</strong> de las Bodegas Riojanas es un crianza cl&aacute;sico elaborado a partir de uvas de la variedad <strong>Tempranillo</strong> 100% despalilladas y estrujadas con m&eacute;todos modernos e innovadores de fermentaci&oacute;n y maceraci&oacute;n.</p>
<p>Posteriormente este vino ha tenido una crianza de 18 meses en barricas nuevas de roble americano y otros 6 meses de reposo en botella antes de su comercializaci&oacute;n.</p>
<p>Si tiene alguna duda a la hora de comprar <strong>Vino Tinto Puerta Vieja Crianza Selecci&oacute;n Magnum</strong>, no dude en ponerse en contacto con el sumiller de nuestra tienda y le asesorar&aacute; sin compromiso.</p>",13.5,Cabernet Sauvignon|Garnacha|Syrah|Tempranillo,BODEGAS RIOJANAS S.A.,2018,D.O.C. Rioja,Fermentado en Barrica,18 meses,Vino Tinto
VT- VIORE-COS,Vino Tinto Viore Cosecha,"<p><strong>Vino Tinto Viore Cosecha</strong></p>
<p>El &nbsp;<strong>Vino Tinto Viore&nbsp; Cosecha</strong>&nbsp;ha siso elaborado a partir de la variedad&nbsp;100% Tinta de Toro&nbsp;, tiene una <strong>D.O. Toro.</strong></p>
<p>El &nbsp;<strong>Vino Tinto Viore&nbsp; Cosecha</strong>&nbsp;es procedente de vi&ntilde;edos controlados,el terreno posee&nbsp; favorables condiciones clim&aacute;ticas por la zona en la que se encuentra.</p>
<p>La elaboracion del vino ha sido realizada&nbsp; con uvas despalilladas y estrujadas, con cortos periodos de maceraci&oacute;n de los hollejos y una fermentaci&oacute;n controlada a baja temperatura, logrando asi preservar al m&aacute;ximo los aromas y sabores propios del fruto.</p>
<p><strong>Bodegas Riojanas</strong>&nbsp;fue fundada en 1890 por las familias Artacho y Carreras, es una de las 13 denominadas como Bodegas Centenarias de La Rioja. Es una bodega familiar que en la actualidad esta manejada por la quinta generaci&oacute;n.</p>
<p><strong>Bodegas Riojanas</strong> es, una&nbsp;<strong>bodega cl&aacute;sica</strong>, que emplea nuevas tecnolog&iacute;as para la elaboraci&oacute;n de sus vinos, y va ganando terreno en otras denominaciones de origen.</p>
<p>Si tiene alguna duda a la hora de comprar <strong>Vino &nbsp;<strong>Vino Tinto Viore Cosecha</strong></strong>, no dude en ponerse en contacto con el sumiller de nuestra tienda y le asesorar&aacute; sin compromiso.</p>",3.69,Tinta de Toro,BODEGAS RIOJANAS S.A.,2020,D.O. Toro,Joven,4 meses,Vino Tinto
VT-VIORE-5-MESES-BARRICA,Vino Tinto Viore 5 Meses Barrica D.O. Toro,"<p>El <strong>Vino Tinto Viore 5 Meses Barrica</strong> <strong>D.O. Toro</strong> de las Bodegas Riojanas es un barrica clásico elaborado a partir de uvas de la variedad Tinta de Toro 100%, procedentes de viñedos con plantaciones directas de sarmientos de ""Vitis vinífera"". Las uvas son despalilladas y estrujadas, con una fermentación controlada buscando un vino tradicional con las menores manipulaciones posibles. </p>
<p>Este vino pertenece a la <strong>D.O. Toro</strong> y ha tenido una ligera permanencia en barricas nuevas de roble americano durante 5 meses, para adquirir finura de color, complejidad en nariz y suavidad en boca. </p>
<p>Si tiene alguna duda a la hora de comprar <strong>Vino Tinto Viore 5 Meses Barrica <strong>D.O. Toro</strong></strong>, no dude en ponerse en contacto con el sumiller de nuestra tienda y le asesorará sin compromiso.</p>",4.95,Tinta de Toro,BODEGAS RIOJANAS S.A.,2018,D.O. Toro,Fermentado en Barrica,5 meses,Vino Tinto
VT-MARQUES-DE-PENAMONTE-COLECCION-PRIVADA,Vino Tinto Marqués de Peñamonte Colección Privada,"<p>El <strong>Vino Tinto Marqu&eacute;s de Pe&ntilde;amonte Colecci&oacute;n Privada</strong>&nbsp;de las Bodegas Riojanas pertenece a la D.O. Toro, elaborado a partir de uvas de la variedad Tinta de Toro 100%, procedentes de vi&ntilde;edos viejos. Para la elaboraci&oacute;n de este vino se han utilizado las t&eacute;cnicas m&aacute;s avanzadas, as&iacute; como nuevos&nbsp;procesos fermentativos de ultra maceraci&oacute;n. Adem&aacute;s, este vino no ha tenido filtrados en profundidad ni estabilizaciones a bajas temperaturas, por lo que en &eacute;l conservamos toda su plenitud.</p>
<p>Este vino vino ha tenido una crianza de 20 meses en barricas nuevas: los 12 primeros meses en barricas de roble americano y posteriormente en barricas de roble franc&eacute;s. Posteriormente, una maduraci&oacute;n en botella para alcanzar su estado &oacute;ptimo.</p>
<p>Si tiene alguna duda a la hora de comprar <strong>Vino Tinto Marqu&eacute;s de Pe&ntilde;amonte Colecci&oacute;n Privada</strong>, no dude en ponerse en contacto con el sumiller de nuestra tienda y le asesorar&aacute; sin compromiso.</p>",14.9,Tinta de Toro,BODEGAS RIOJANAS S.A.,2016,D.O.C. Rioja,Fermentado en Barrica,20 meses,Vino Tinto
VT-MONTE-REAL-GRAN-RESERVA,Vino Tinto Monte Real Gran Reserva,"<p>El&nbsp;<b>Vino Tinto Monte Real Gran Reserva</b></p>
<p>El <b>Vino Tinto Monte Real Gran Reserva&nbsp;</b>un vino tinto de <strong>D.O.Ca. Rioja</strong> y elaborado a partir de variedad de uva <strong>Tempranillo 100%</strong>.Un <strong>vino tinto</strong> que se posiciona entre los cl&aacute;sicos e hist&oacute;ricos de <strong>Rioja</strong>.</p>
<p>El <b>Vino Tinto Monte Real Gran Reserva</b> es una elaboraci&oacute;n de <strong>Bodegas Riojanas</strong>, unas bodegas de tradici&oacute;n de la <strong>Rioja</strong>.</p>
<p>La vinificaci&oacute;n del<b> Vino Tinto Monte Real Gran Reserva </b>es una elaboraci&oacute;n cl&aacute;sica que comienza con la selecci&oacute;n de las uvas, su posterior despalillado y estrujado con nuevas tecnolog&iacute;as de control de fermentaci&oacute;n y larga maceraci&oacute;n. Destacar su proceso de crianza que va desde 24 a 30 meses en barrica de roble americano. D&aacute;ndo como resultado un <strong>vino tinto gran reserva</strong> de calidad que evoca la tradici&oacute;n de <strong>Rioja.</strong></p>
<p>&nbsp;</p>
<p>Si tienes alguna duda a la hora de <b>comprar </b><b>Vino Tinto Monte Real Gran Reserva </b>no dudes en consultar a nuestro sumiller, te ayudar&aacute; sin compromiso.</p>",17.82,Tempranillo,BODEGAS RIOJANAS S.A.,2017,D.O.C. Rioja,Gran Reserva,24 meses,Vino Tinto
VT-MONTE-FA-R,Vino Tinto Monte Real Reserva de Familia,"<p>El&nbsp;<b>Vino Tinto Monte Real Familia Reserva</b>&nbsp;</p>
<p>El <b>Vino Tinto Monte Real Familia Reserva</b> un <strong>vino tinto de gran calidad</strong> que pertenece a la <strong>Denominaci&oacute;n de Origen Calificada Rioja</strong>, siendo un <strong>vino</strong> que identifica la esencia de esta regi&oacute;n.</p>
<p><b>Vino Tinto Monte Real Familia Reserva</b> ha sido elaborado a partir de variedad de uva <strong>Tempranillo</strong> 100% y es el saber hacer de <strong>Bodegas Riojanas</strong>, una bodega con gran experiencia en elaboraci&oacute;n de <strong>vinos de rioja</strong> de corte cl&aacute;sico, que persigue mantener la tradici&oacute;n combin&aacute;ndola con las &uacute;ltimas tendencias en innovaci&oacute;n.</p>
<p>El proceso de vinificaci&oacute;n del&nbsp;<b>Vino Tinto Monte Real Familia Reserva</b> es una elaboraci&oacute;n cl&aacute;sica que comienza con la selecci&oacute;n de las uvas, su posterior despalillado y estrujado con nuevas tecnolog&iacute;as de control de fermentaci&oacute;n y larga maceraci&oacute;n. Hay que destacar su proceso de crianza que va desde 24 a 30 meses en barrica de roble americano. Dando como resultado un <strong>vino tinto gran reserva</strong> de calidad que evoca la tradici&oacute;n de <strong>Rioja.</strong></p>
<p>&nbsp;</p>
<p>Si tienes alguna duda a la hora de <b>comprar </b><b>Vino Tinto Monte Real Familia Reserva</b> no dudes en consultar a nuestro sumiller, te ayudar&aacute; sin compromiso.</p>",11.0,Tempranillo,BODEGAS RIOJANAS S.A.,2017,D.O.C. Rioja,Reserva,18 meses,Vino Tinto
VT-MONTE-RE-M,Vino Tinto Monte Real Familia Reserva Magnum,"<p><b>Vino Tinto Monte Real Familia Reserva Magnum</b></p>
<p>El <b>Vino Tinto Monte Real Familia Reserva Magnum</b> es un vino tinto elaborado por <strong>Bodegas Riojanas</strong>, una de las firmas de corte cl&aacute;sico de Rioja. Es un <strong>vino tinto</strong> que ha sido producido con uva Tempranillo 100% y pertenece a la <strong>D.O.Ca. Rioja.</strong></p>
<p>El <b>Vino Tinto Monte Real Familia Reserva</b> <b>Magnum </b>un vino tinto de gran calidad que pertenece a la <strong>Denominaci&oacute;n de Origen Calificada Rioja</strong>, siendo un vino que identifica la esencia de esta regi&oacute;n.</p>
<p><b>Vino Tinto Monte Real Familia Reserva Magnum</b> ha sido elaborado a partir de variedad de uva Tempranillo 100% y es el saber hacer de <strong>Bodegas Riojanas</strong>, una bodega con gran experiencia en elaboraci&oacute;n de vinos de rioja de corte cl&aacute;sico, que persigue mantener la tradici&oacute;n combin&aacute;ndola con las &uacute;ltimas tendencias en innovaci&oacute;n.</p>
<p>El proceso de vinificaci&oacute;n del<b>Vino Tinto Monte Real Familia Reserva Magnum</b> es una elaboraci&oacute;n cl&aacute;sica que comienza con la selecci&oacute;n de las uvas, su posterior despalillado y estrujado con nuevas tecnolog&iacute;as de control de fermentaci&oacute;n y larga maceraci&oacute;n. Hay que destacar su proceso de crianza que va desde 24 a 30 meses en barrica de roble americano. Dando como resultado un vino tinto gran reserva de calidad que evoca la tradici&oacute;n de Rioja.</p>
<p>Si tienes alguna duda a la hora de <b>comprar </b><b>Vino Tinto Monte Real Familia Reserva</b> <b>Magnum </b>no dudes en consultar a nuestro sumiller, te ayudar&aacute; sin compromiso</p>",24.8,Cariñena|Graciano|Mazuelo|Tempranillo,BODEGAS RIOJANAS S.A.,2017,D.O.C. Rioja,Reserva,18 meses,Vino Tinto
VT-VIORE-CRIA,Vino Tinto Viore Crianza D.O. Toro,"<p>El <strong>Vino Tinto Viore Crianza</strong> <strong>D.O. Toro</strong> ha siso elaborado a partir de la variedad 100% Tinta de Toro , tiene una D.O. Toro.</p>
<p>El <strong>Vino Tinto Viore Crianza</strong> <strong>D.O. Toro </strong>es procedente de viñedos con plantaciones directas de sarmientos ""Vitis vinífera"". La elaboracion del vino ha sido realizada con uvas despalilladas y estrujadas, con periodos de fermentación largos que permiten obtener un vino con buena estructura y resaltar su personalidad a lo largo del tiempo. Este vino ha tenido una <strong>crianza de 9 meses</strong> en barrica de roble americano y seis en reposo en botella antes de su comercialización.</p>
<p>Bodegas Riojanas fue fundada en 1890 por las familias Artacho y Carreras, es una de las 13 denominadas como Bodegas Centenarias de La Rioja. Es una bodega familiar que en la actualidad esta manejada por la quinta generación. Bodegas Riojanas es, una bodega clásica, que emplea nuevas tecnologías para la elaboración de sus vinos, y va ganando terreno en otras denominaciones de origen.</p>
<p>Si tiene alguna duda a la hora de comprar <strong>Vino Vino Tinto Viore Crianza <strong>D.O. Toro</strong></strong>, no dude en ponerse en contacto con el sumiller de nuestra tienda y le asesorará sin compromiso.</p>",7.75,Tinta de Toro,BODEGAS RIOJANAS S.A.,2016,D.O. Toro,Crianza,9 meses,Vino Tinto
VB-AMADOR-DIEZ-CUVEE-ESPECIAL,Vino Blanco Amador Diez Cuvée Especial,"<p><strong>Vino Blanco Amador Diez Cuvée Especial</strong><span style=""font-weight: 400;"">, monovarietal perteneciente a la D.O. Rueda elaborado con uva 100% Verdejo por la </span><strong>Bodega Cuatro Rayas</strong><span style=""font-weight: 400;"">, el nombre de este gran vino hace honor a Amador Diez quien fue presidente de la bodega durante 21 años.</span></p>
<p><span style=""font-weight: 400;"">Antes de empezar el proceso de fermentación, la bodega macera el vino blanco en sus vulvas durante 3 días. La maceración asegura que el vino blanco sea infundido con las características sensacionales de las uvas. La uva con la que se elabora este vino es vendimiada a mano y procede de una selección de 10 hectáreas de viñedos viejos, de más de 100 años, ubicados en Aldeanueva del Codonal, en Segovia. La variedad de uva elegida para el </span><strong>Vino Blanco Amador Diez Cuvée Especial </strong><span style=""font-weight: 400;"">es de la familia Verdejo</span><strong> (100%)</strong><span style=""font-weight: 400;"">.</span></p>
<p><strong>El Vino Blanco Amador Diez Cuvée Especial </strong><span style=""font-weight: 400;"">es fermentado en barricas nuevas de roble francés, con baronnage durante 8 meses. Dentro de la elaboración cabe destacar el uso de levaduras autóctonas propias de la bodega. Este tipo de barrica añade varios elementos sabrosos del roble al producto final. La </span><strong>Bodega Cuatro Rayas</strong><span style=""font-weight: 400;""> describe este producto como el vino más exclusivo y artesanal que producen y que cada momento en la elaboración del vino sea ejecutado con el objetivo de extender su longevidad.  </span></p>
<p><strong>El Vino Blanco Amador Diez Cuvée Especial </strong><span style=""font-weight: 400;"">a sido galardonado con muchos premios, incluyendo el premio Oro de Bacchus en 2022, Oro de Concours Mondial Bruxelles 2022, 94 puntos en la Guía Sevi, Gran Oro de Seléctions Mondiales des Vins de Canadá, Oro de Mundus Vini Spring, y 93 puntos en la guía Peñín.</span></p>
<p><span style=""font-weight: 400;"">Si tiene alguna duda a la hora de</span><strong> comprar</strong> <strong>El Vino Blanco Amador Diez Cuvée Especial, </strong><span style=""font-weight: 400;"">póngase en contacto con el sumiller de nuestra tienda online que le asesorará sin ningún compromiso.</span></p>",37.8,Verdejo,PIFEMA S.L.,2015,D.O. Rueda,Fermentado en Barrica,8 meses,Vino Blanco
VB-CTRO-RYS-CRNTA-VNDMAS,Vino Blanco Cuatro Rayas Cuarenta Vendimias Verdejo,"<p><span style=""font-weight: 400;"">Vino Blanco elaborado por la </span><strong>Bodega Cuatro Rayas</strong><span style=""font-weight: 400;""> con uva de la variedad </span><strong>100% Verdejo</strong><span style=""font-weight: 400;""> perteneciente a la </span><strong>D.O. Rueda</strong><span style=""font-weight: 400;""> es un homenaje al enólogo Ángel Calleja que en la campaña de 2015 celebró 40 vendimias en su haber.</span></p>
<p><span style=""font-weight: 400;"">El </span><strong>Vino Blanco Cuatro Rayas 40 Vendimias Verdejo</strong><span style=""font-weight: 400;""> se ha elaborado a partir de una selección de uvas provenientes de viñedos de unos 40 años de antigüedad. La crianza de este vino se lleva a cabo durante 4 meses sobre sus lías; este proceso asegura que el vino blanco sea infundido con las características sensacionales de la uva y tallos. La temperatura ideal de consumo de este vino está entre los 6 y los 8 grados de temperatura.</span></p>
<p><span style=""font-weight: 400;"">El </span><strong>Vino Blanco Cuatro Rayas 40 Vendimias Verdejo </strong><span style=""font-weight: 400;"">ha sido galardonado con muchos premios, incluyendo lo siguiente: medalla Oro, Baco 2022; medalla Oro, MUNDUS VINI SUMMER 2022; medalla Oro, Seléctions Mondiales des Vins de Canadá 2022; 91 puntos Guía Gourmets 2023</span></p>
<p><strong>Bodegas Cuatro Rayas</strong></p>
<p><span style=""font-weight: 400;"">La historia de esta bodega empieza en uno de los momentos más turbulentos de España, el comienzo de la guerra civil. El efecto de la guerra causó que las familias viticultoras en el pequeño pueblo de Valladolid llamado La Seca se uniesen juntos por un concepto simple: que juntos serían más grandes y fuertes. Este momento marcó el nacimiento del concepto </span><strong>Bodegas Cuatro Rayas,</strong><span style=""font-weight: 400;""> y solo continuó de crecer y reforzarse en los años que seguían. La bodega seguía mejorando su presencia en el mundo de vinos, pero en el año 1960, la bodega estableció su nombre que sigue siendo usado hoy: </span><strong>Bodegas Cuatro Rayas.</strong><span style=""font-weight: 400;""> En el siglo 21, hubo un gran aumento en innovaciones en cómo cosechar y fermentar vinos; </span><strong>Bodegas Cuatro Rayas </strong><span style=""font-weight: 400;"">utilizan estas innovaciones mientras mantienen su tradición.</span></p>
<p><span style=""font-weight: 400;"">Si tiene alguna duda a la hora de comprar el</span><strong> Vino Blanco Cuatro Rayas 40 Vendimias Verdejo</strong><span style=""font-weight: 400;"">, póngase en contacto con el sumiller de nuestra tienda online que le asesorará sin compromiso.</span></p>",8.75,Verdejo,BODEGA CUATRO RAYAS S. COOP. AGROALIMENTARIA.,2021,D.O. Rueda,Sobre lías,5 meses,Vino Blanco
VT-CTRO-RYS-40-VNDMS-RBR-DL-DR,Vino Tinto Cuatro Rayas 40 Vendimias Ribera del Duero,"<p><span style=""font-weight: 400;"">Este Vino Tinto elaborado por la </span><strong>Bodega Cuatro Rayas</strong><span style=""font-weight: 400;""> con uva </span><strong>100% Tempranillo</strong><span style=""font-weight: 400;"">, es el segundo vino de la bodega en la </span><strong>D.O. Ribera del Duero</strong><span style=""font-weight: 400;"">, y es ya el un proyecto presentado hace un año y que ha hecho que la bodega se haga un hueco en la comercialización de vinos tintos de calidad. </span></p>
<p><span style=""font-weight: 400;"">Las uvas con las que se elabora el </span><strong>Vino Tinto Cuatro Rayas 40 Vendimias Ribera del Duero</strong><span style=""font-weight: 400;""> proceden de viñedos de 40 años de antigüedad. La crianza de este vino se lleva a cabo durante 10 meses en barricas de roble. En esos 10 meses, el vino tinto seria infundido con las características de sabor y olor de este tipo de roble, asegurando que el vino tinto sale optimizado al gusto de la bodega.</span></p>
<h2><strong>Bodegas Cuatro Rayas</strong></h2>
<p><span style=""font-weight: 400;"">La historia de esta bodega empieza en uno de los momentos más turbulentos de España, el comienzo de la guerra civil. El efecto de la guerra causó que las familias viticultoras en el pequeño pueblo de Valladolid llamado La Seca se uniesen juntos por un concepto simple: que juntos serían más grandes y fuertes. Este momento marcó el nacimiento del concepto </span><strong>Bodegas Cuatro Rayas,</strong><span style=""font-weight: 400;""> y solo continuó de crecer y reforzarse en los años que seguían. La bodega seguía mejorando su presencia en el mundo de vinos, pero en el año 1960, la bodega estableció su nombre que sigue siendo usado hoy: </span><strong>Bodegas Cuatro Rayas.</strong><span style=""font-weight: 400;""> En el siglo 21, hubo un gran aumento en innovaciones en cómo cosechar y fermentar vinos; </span><strong>Bodegas Cuatro Rayas </strong><span style=""font-weight: 400;"">utilizan estas innovaciones mientras mantienen su tradición.</span></p>
<p><span style=""font-weight: 400;"">Si tiene alguna duda a la hora de </span><strong>comprar</strong> <strong>Vino Tinto Cuatro Rayas 40 Vendimias Ribera del Duero</strong><span style=""font-weight: 400;"">, póngase en contacto con el sumiller de nuestra tienda online que le asesorará sin ningún compromiso.</span></p>",10.05,Tempranillo,PIFEMA S.L.,2020,D.O. Ribera del Duero,Crianza,9 meses,Vino Tinto
VT-TOBELOS-TEMPRANILLO-CRIANZA,Vino Tinto Tobelos Tempranillo Crianza,"<p>El <strong>Vino Tinto Tobelos Tempranillo Crianza</strong>&nbsp;est&aacute;&nbsp;elaborado con uvas de la variedad 100% Tempranillo por la <strong>Bodega Tobelos</strong>&nbsp;perteneciente a la <strong>Denominaci&oacute;n de Origen Rioja.</strong></p>
<p>&nbsp;Elaborado mediante fermentaci&oacute;n alcoh&oacute;lica en cubas inox. La maceraci&oacute;n post-fermentaci&oacute;n se hace con los hollejos de uvas, y despu&eacute;s la fermentaci&oacute;n malol&aacute;ctica se hace en las mismas cubas.</p>
<p>El envejecimiento se hace en barricas de robles franc&eacute;s&nbsp; y centroeuropeos durante 13 meses.</p>
<p>Si tiene alguna duda a la hora de <strong>comprar el</strong>&nbsp;<strong>Vino Tinto Tobelos Tempranillo&nbsp;</strong>p&oacute;ngase en contacto con el sumiller de nuestra tienda online que le asesorar&aacute; sin compromiso.</p>",11.0,Tempranillo,TOBELOS BODEGAS Y VIÑEDOS S.L.,2016,D.O.C. Rioja,Crianza,13 meses,Vino Tinto
VT-THAON-DE-TOBELOS-RESERVA,Vino Tinto Tahón de Tobelos Reserva,"<p>El V<strong>ino Tinto Tah&oacute;n de Tobelos es un mono</strong>varietal elaborado con uvas de la variedad Tempranillo&nbsp;100%&nbsp; por la Bodega Tobelos<strong>&nbsp;</strong>perteneciente a la <strong>Denominaci&oacute;n de Origen Calificada Rioja.</strong></p>
<p>Este vino lleva a cabo una fermentaci&oacute;n alcoh&oacute;lica de 14 d&iacute;as y un total de 22 d&iacute;as de maceraci&oacute;n con los hollejos. La fermentaci&oacute;n malol&aacute;ctica se hace en barricas nuevas.</p>
<p>El envejecimiento se da en barricas de roble franc&eacute;s y americano.</p>
<p>Si tiene alguna duda a la hora de <strong>comprar el</strong>&nbsp;V<strong>ino Tinto Tah&oacute;n de Tobelos </strong>p&oacute;ngase en contacto con el sumiller de nuestra tienda online que le asesorar&aacute; sin compromiso.</p>
<p>&nbsp;</p>",20.0,Tempranillo,TOBELOS BODEGAS Y VIÑEDOS S.L.,2013,D.O.C. Rioja,Reserva,14 meses,Vino Tinto
