manufacturer,product name,precio iva incluido,stock,product url,category,product ID,aÃ±ada,formato,Tipo de Crianza,ean,meses en barrica,Proveedor,uvas,sku,Denominacion de Origen,tipo de vino,tipo de destilado,tipo de tequila,Estilo de cerveza,Tipo de cereal de la cerveza,Estilo de Ginebra,Familia de cerveza,Tipo de Whisky,Tipo de Champagne,Tipo de Gourmet,Medida,Volumen de medida,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
MG Wines Group,Vino Tinto Salinas 1237,79.5,1,https://vinopremier.com/vino-tinto-salinas-1237.html,Vinos Para Halloween - 15%,3284,2015,75.0,Crianza,8437006641043,21 ,MG Wines Group S.L.,Alicante Bouschet,Cabernet Sauvignon,Monastrell,Salinas-1237,D.O. Alicante,Vino Tinto,,,,,,,,,,cl.,75,,,
MG Wines Group,Vino Tinto Tilenus Roble,14.76,1,https://vinopremier.com/vino-tinto-tilenus-roble.html,Argataca,3285,2020,75.0,Roble,8437002558123,10 ,MG Wines Group S.L.,MencÃ­a,VR-TILENUS-ROBLE, Bierzo, Tinto,,,,,,,,,,cl.,75,,,,,
BODEGAS ESTEFANIA S.L.,Vino Tinto Tilenus La Florida,17.79,1,https://vinopremier.com/vino-tinto-tilenus-la-florida.html,Black Friday - Vinopremier,3287,2018,75.0,Crianza,8437002558130,14 ,BODEGAS ESTEFANIA S.L.,MencÃ­a,VT-TILENUS-LA-FLORIDA, Bierzo, Tinto,,,,,,,,,,cl.,75,,,,,
BODEGAS ESTEFANIA S.L.,Vino Tinto Tilenus Pagos de Posada,23.9,1,https://vinopremier.com/vino-tinto-tilenus-pagos-de-posada.html,Black Friday - Vinopremier,3288,2017,75.0,Crianza,8437002558147,18 ,BODEGAS ESTEFANIA S.L.,MencÃ­a,TIPAPO, Bierzo, Tinto,,,,,,,,,,cl.,75,,,,,
BODEGAS ESTEFANIA S.L.,Vino Tinto Tilenus Pieros,38.48,1,https://vinopremier.com/vino-tinto-tilenus-pieros.html,Vinos Para Halloween - 15%,3289,2015,75.0,Crianza,8437002558161,20 ,BODEGAS ESTEFANIA S.L.,MencÃ­a,VT-TILENIUS-PIEROS, Bierzo, Tinto,,,,,,,,,,cl.,75,,,,,
BODEGAS ESTEFANIA S.L.,Vino Tinto Tilenus Vendimia Joven,8.65,1,https://vinopremier.com/vino-tinto-tilenus-vendimia-joven.html,Vinos Para Halloween - 15%,3290,2022,75.0,Joven,8437002558116,Sin paso por barrica,BODEGAS ESTEFANIA S.L.,MencÃ­a,TILJV, Bierzo, Tinto,,,,,,,,,,cl.,75,,,,,
Casa Rojo,Vino Tinto MachoMan Monastrell MMM,20.57,1,https://vinopremier.com/vino-tinto-macho-man-monastrell-mmm.html,Variedades de uva,3338,2020,75.0,Roble,8436546821571,5 ,"CASA ROJO BODEGA Y VIÃ‘EDOS, S.L.",Monastrell,VT-MACHO-MAN-MONASTRELL-MMM, Jumilla, Tinto,,,,,,,,,,cl.,75,,,,,
ViÃ±edos Alonso del Yerro,Vino Tinto Maria de Alonso del Yerro Magnum,108.3,1,https://vinopremier.com/vino-tinto-maria-de-alonso-del-yerro-magnum.html,Tempranillo,3435,2011,1.5,Crianza,8437011410214,18 ,VIÃ‘EDOS ALONSO DEL YERRO SL,Tempranillo,VT-MARIA-YERRO-MAGNUM, Ribera del Duero, Tinto,,,,,,,,,,L.,1.5,,,,,
LadrÃ³n de Lunas,Vino Blanco LadrÃ³n de Lunas,5.93,1,https://vinopremier.com/vino-blanco-ladron-de-lunas-sauvignon-750ml.html,Argataca,3442,2023,75.0,,8437003099731,,"SPENLY PARTNERS SPIRITS, S.L.",Sauvignon Blanc,LADELUSA, Utiel Requena, Blanco,,,,,,,,,,cl.,75,,,,,
Horola,Vino Tinto Equinoccio,10.41,1,https://vinopremier.com/vino-tinto-equinoccio.html,EspaÃ±a,3444,2008,75.0,,No disponible ,12 ,Bisila Brand S.L.,Cabernet Sauvignon,Tempranillo,VINO-TINTO-EQUINOCCIO,D.O. Utiel Requena,Vino Tinto,,,,,,,,,,cl.,75,,,,
LadrÃ³n de Lunas,Vino Tinto LadrÃ³n de Lunas Crianza,8.23,1,https://vinopremier.com/vino-tinto-ladron-de-lunas-crianza.html,EspaÃ±a,3447,2019,75.0,Crianza,8437003099779,12 ,"SPENLY PARTNERS SPIRITS, S.L.",Bobal,VTLADRONLUNACRIANZA, Utiel Requena, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Arraez,Vino Tinto Mala Vida Magnum,14.82,1,https://vinopremier.com/vino-tinto-mala-vida-magnum.html,Syrah,3456,2019,1.5,,8413513690675,8 ,Bodegas Antonio ArrÃ¡ez S.L.,Cabernet Sauvignon,Syrah,Tempranillo,VINO-TINTO-MALA-VIDA-MAGNUM,D.O. Valencia,Vino Tinto,,,,,,,,,,L.,1.5,,,
LadrÃ³n de Lunas,Vino Tinto LadrÃ³n de Lunas Exclusive Crianza,18.39,1,https://vinopremier.com/vino-tinto-exclusive-bobal.html,Bobal,3463,2019,75.0,Crianza,8437003099809,15 ,"SPENLY PARTNERS SPIRITS, S.L.",Bobal,VTEXCLUSIVEBOBALLDL, Utiel Requena, Tinto,,,,,,,,,,cl.,75,,,,,
LadrÃ³n de Lunas,Vino Tinto LadrÃ³n de Lunas Roble,7.02,1,https://vinopremier.com/vino-tinto-ladron-de-lunas-bobal-y-bobal.html,EspaÃ±a,3464,2021,75.0,Roble,8436565340145,5 ,"SPENLY PARTNERS SPIRITS, S.L.",Bobal,VT-LADRON-DE-LUNAS-BOBABOBAL, Utiel Requena, Tinto,,,,,,,,,,cl.,75,,,,,
Barcolobo,Vino Tinto Barcolobo Victoria,16.46,1,https://vinopremier.com/vino-tinto-barcolobo-victoria.html,Los MÃ¡s Vendidos del aÃ±o,3478,2017,75.0,Crianza,8437011375087,12 ,"FINCA LA RINCONADA, VIÃ‘EDOS Y BODEGAS S.L.",Cabernet Sauvignon,Syrah,Tempranillo,VT-BARCOLOBO-CRIANZA-12-MESES,V.T. Castilla y LeÃ³n,Vino Tinto,,,,,,,,,,cl.,75,,,
Barcolobo,Vino Blanco Barcolobo Verdejo FB,13.55,1,https://vinopremier.com/vino-blanco-barcolobo-verdejo.html,V.T. Castilla y LeÃ³n,3480,2019,75.0,Fermentado en Barrica,8437011375131,4 ,"FINCA LA RINCONADA, VIÃ‘EDOS Y BODEGAS S.L.",Verdejo,VINO-BLANCO-BARCOLOBO-VERDEJO-BFB,V.T. Castilla y LeÃ³n, Blanco,,,,,,,,,,cl.,75,,,,,
Barcolobo,Vino Tinto Barcolobo La Rinconada,10.16,1,https://vinopremier.com/vino-tinto-barcolobo-finca-la-rinconada-roble.html,V.T. Castilla y LeÃ³n,3481,2022,75.0,Roble,8437011375209,4 ,"FINCA LA RINCONADA, VIÃ‘EDOS Y BODEGAS S.L.",Tempranillo,VT-BARCOLOBO-FINCA-LA-RINCONADA-ROBLE,V.T. Castilla y LeÃ³n, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Aragonesas,Vino Tinto Coto de Hayas Roble,10.04,1,https://vinopremier.com/vino-tinto-coto-de-hayas-roble.html,D.O. Campo de Borja,3514,2022,75.0,Roble,8411528001202,4 ,Carbonicas Alvarez S.L.,Cabernet Sauvignon,Tempranillo,VT-COTO-DE-HAYAS-ROBLE,D.O. Campo de Borja,Vino Tinto,,,,,,,,,,cl.,75,,,,
Bodegas Habla,Vino Tinto Habla De La Tierra,9.8,1,https://vinopremier.com/vino-tinto-habla-de-la-tierra.html,Syrah,3519,2019,75.0,Roble,8437006033619,4 ,D.E.R. NAVARRO S.A.,Cabernet Sauvignon,Syrah,VT-HABLA-LA-TIERRA,V.T. Extremadura,Vino Tinto,,,,,,,,,,cl.,75,,,,
Grupo Jorge OrdoÃ±ez,Vino Tinto Avancia MencÃ­a Nobleza,39.87,1,https://vinopremier.com/vino-tinto-avancia-mencia.html,Argataca,3533,2019,75.0,Crianza,8437011956026,14 ,Jorge OrdoÃ±ez Malaga S.L.,MencÃ­a,VT-AVANCIA-MENCIA-NOBLEZA, Valdeorras, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega Cidacos,Vino Tinto Joven Conde de Yanguas,4.6,1,https://vinopremier.com/vino-tinto-joven-conde-de-yanguas.html,Tempranillo,3552,2021,75.0,Joven,8437012414600,,Carbonicas Alvarez S.L.,Garnacha,Tempranillo,VT-JOVEN-CONDE-DE-YANGUAS,D.O.C. Rioja,Vino Tinto,,,,,,,,,,cl.,75,,,,
Bodega Cidacos,Vino Tinto Conde de Yanguas Crianza,7.2,1,https://vinopremier.com/vino-tinto-de-crianza-conde-de-yanguas.html,Garnacha,3555,2019,75.0,Crianza,8437012413429,,Carbonicas Alvarez S.L.,Garnacha,Tempranillo,VT-CONDE-DE-YANGUAS-CRIANZA,D.O.C. Rioja,Vino Tinto,,,,,,,,,,cl.,75,,,,
Bodega RamÃ³n Bilbao,Vino Tinto RamÃ³n Bilbao ViÃ±edos Altura,16.15,1,https://vinopremier.com/vino-tinto-ramon-bilbao-vinedos-altura.html,Garnacha,3559,2019,75.0,Crianza,8413423550014,15 ,Carbonicas Alvarez S.L.,Garnacha,Tempranillo,VT-RAMON-BILBAO-VINEDOS-ALTURA,D.O.C. Rioja,Vino Tinto,,,,,,,,,,cl.,75,,,,
Bodegas Muga,Vino Tinto Muga Crianza,25.11,1,https://vinopremier.com/vino-tinto-muga.html,Mazuelo,3561,2020,75.0,Crianza,8414542010106,24 ,Carbonicas Alvarez S.L.,Mazuelo,VTMUGACR,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega Remelluri,Vino Tinto Remelluri Reserva,32.07,1,https://vinopremier.com/vino-tinto-remelluri-reserva.html,Los MÃ¡s Vendidos del aÃ±o,3565,2015,75.0,Reserva,8426771415201,22 ,Carbonicas Alvarez S.L.,Garnacha,MalvasÃ­a,Tempranillo,Viura,VT-REMELLURI-RESERVA,D.O.C. Rioja,Vino Tinto,,,,,,,,,,cl.,75,,
ViÃ±a Tondonia,Vino Tinto ViÃ±a Tondonia Reserva,46.34,1,https://vinopremier.com/vino-tinto-vina-tondonia-reserva.html,Mazuelo,3567,2011,75.0,Reserva,8423954260061,72 ,Carbonicas Alvarez S.L.,Mazuelo,VT-VINA-TONDONIA-RESERVA,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Bodega La Horra,Vino Tinto Corimbo,26.86,1,https://vinopremier.com/vino-tinto-corimbo.html,D.O. Ribera del Duero,3582,2019,75.0,Crianza,8436538813966,12 ,BODEGAS RODA S.A.,Tempranillo,VTCORIMBO, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
Grupo Faustino,Vino Blanco Campillo Fermentado En Barrica,10.47,1,https://vinopremier.com/vino-blanco-campillo-fermentado-en-barrica.html,Argataca,3606,2021,75.0,Fermentado en Barrica,8420455142124,4 ,VOLDISTRIBUCION MADRID S.A.,Chardonnay,Viura,VB-CAMPILLO-FERMENTADO-BARRICA,D.O.C. Rioja,Vino Blanco,,,,,,,,,,cl.,75,,,,
Bodegas TorremorÃ³n,Vino Tinto SelecciÃ³n 4 Caminos Vendimia Seleccionada,8.77,1,https://vinopremier.com/vino-tinto-seleccion-4-caminos-vendimia-seleccionada.html,Tempranillo,3651,2018,75.0,Joven,8437000065326,6 ,Carbonicas Alvarez S.L.,Tinto Fino,VT-SELECCION-4-CAMINOS, Ribera del Duero, Tinto,,,,,,,,,,cl.,75,,,,,
Fontana,Vino Tinto Dominio de Fontana Crianza,9.62,1,https://vinopremier.com/vino-tinto-dominio-de-fontana-crianza.html,Argataca,3655,2020,75.0,Crianza,8437001429745,12 ,D.E.R. NAVARRO S.A.,Cabernet Sauvignon,Tempranillo,Vino-Tinto-Crianza-Dominio-De-Fontana,D.O. UclÃ©s,Vino Tinto,,,,,,,,,,cl.,75,,,,
Fontana,Vino Tinto Mesta Dominio de Fontana,4.78,1,https://vinopremier.com/vino-tinto-mesta-dominio-de-fontana.html,Black Friday - Vinopremier,3658,2019,75.0,Joven,8437001429110,Sin paso por barrica,"PENINSULA VINICULTORES, S.L",Tempranillo,VT-MESTA-DOMINIO-DE-FONTANA, UclÃ©s, Tinto,,,,,,,,,,cl.,75,,,,,
Fontana,Vino Tinto Oveja Graciano Domino de Fontana,7.8,1,https://vinopremier.com/vino-tinto-oveja-graciano-domino-de-fontana.html,Black Friday - Vinopremier,3661,2018,75.0,,8437001429455,,"PENINSULA VINICULTORES, S.L",Graciano,VT-OVEJA-GRACIANO-DOMINIO-DE-FONTANA, UclÃ©s, Tinto,,,,,,,,,,cl.,75,,,,,
Fontana,VINO TINTO OVEJA TINTA MALBEC,7.2,1,https://vinopremier.com/vino-tinto-oveja-malbec-dominio-de-fontana.html,D.O. UclÃ©s,3662,2019,75.0,,8437019666064,,"PENINSULA VINICULTORES, S.L",Malbec,VT-OVEJA-MALBEC-DOMINIO-DE-FONTANA, UclÃ©s, Tinto,,,,,,,,,,cl.,75,,,,,
Fontana,Vino Blanco Oveja Dry Muscat,7.87,1,https://vinopremier.com/vino-blanco-oveja-dry-muscat.html,Argataca,3663,2020,75.0,,8437001429448,,"PENINSULA VINICULTORES, S.L",Moscatel,VB-OVEJA-DRY-MUSCAT-DOMINIO-DE-FONTANA, UclÃ©s, Blanco,,,,,,,,,,cl.,75,,,,,
Puente del Ea,Vino Blanco Puente del EA Fermentado en Barrica,15.61,1,https://vinopremier.com/vino-puente-del-ea-blanco.html,Black Friday - Vinopremier,3682,2013,75.0,Fermentado en Barrica,8437005169661,6 ,BODEGAS Y VIÃ‘EDOS PUENTE DEL EA SL,Viura,VB-puente-EA-blanco,C. Rioja, Blanco,,,,,,,,,,cl.,75,,,,,
Coto de Gomariz,Vino Blanco Coto de GomÃ¡riz,18.21,1,https://vinopremier.com/vino-blanco-coto-de-gomariz.html,Argataca,3765,2021,75.0,,8437007839104,,Aseuniv S.L.,Loureiro,VB-COTO-DE-GOMARIZ, Ribeiro, Blanco,,,,,,,,,,cl.,75,,,,,
Zecchini,Vermut Blanco Zecchini FÃ³rmula Tradicional,8.47,1,https://vinopremier.com/vermut-blanco-zecchini-formula-tradicional.html,VermÃº o Vermouth,3787,Sin AÃ±ada,75.0,,8437000545255,,"Zecchini y Jornico, S.L.",,VERMUT-BLANCO-ZECCHINI-FORMULATRADIC,Sin ,Vermut,,,,,,,,,,cl.,75,,,,,
Zecchini,Box 3 litros Vermut rojo Zecchini,15.13,1,https://vinopremier.com/box-3-litros-vermut-rojo-zecchini.html,VermÃº o Vermouth,3795,Sin AÃ±ada,75.0,,8437000545125,,"Zecchini y Jornico, S.L.",,BOX 3L-VERMUT-ROJO-ZECCHINI,Sin ,Vermut,,,,,,,,,,cl.,75,,,,,
Cune (CVNE),Vino Tinto Cune Crianza,8.41,1,https://vinopremier.com/vino-tinto-cune-crianza.html,Tempranillo,3800,2020,75.0,Crianza,8410591002413,12 ,Carbonicas Alvarez S.L.,Garnacha,Mazuelo,Tempranillo,VT-CUNE-CRIANZA,D.O.C. Rioja,Vino Tinto,,,,,,,,,,cl.,75,,,
Bodega RamÃ³n Bilbao,"Vino Tinto Ramon Bilbao Crianza 0,5L",7.99,1,https://vinopremier.com/vino-tinto-ramon-bilbao-crianza-0-5l.html,Tempranillo,3802,2019,50.0,Crianza,8413423116081,14 ,"DISTRIBUCIONES TENA MARTINEZ, S.L.",Tempranillo,VT-RAMON-BILBAO-CZA-05L,C. Rioja, Tinto,,,,,,,,,,cl.,50,,,,,
,Vino Tinto Bucamel,20.57,1,https://vinopremier.com/vino-tinto-bucamel.html,Vinos Para Halloween - 15%,3803,2012,75.0,,8437002950149,10 ,Bodegas Noc SL.,Tempranillo,VT-BUCAMEL,V.T. Castilla y LeÃ³n, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas NOC,Vino Tinto NOC Coupage,14.4,1,https://vinopremier.com/vino-tinto-mernat.html,IGP Vino de la Tierra de Castilla,3804,2017,75.0,Crianza,8437002951504,12 ,Bodegas Noc SL.,Cabernet Sauvignon,Petit Verdot,Syrah,Tempranillo,VT-MERNAT,IGP Vino de la Tierra de Castilla,Vino Tinto,,,,,,,,,,cl.,75,,
Bodega RamÃ³n Bilbao,Vino Tinto RamÃ³n Bilbao EdiciÃ³n Limitada Magnum,29.28,1,https://vinopremier.com/vino-tinto-ramon-bilbao-edicion-limitada-magnum.html,Tempranillo,3806,2019,1.5,Crianza,8413423113233,14 ,"DISTRIBUCIONES TENA MARTINEZ, S.L.",Tempranillo,VT-RAMON-BILBAO-EDICION-LIMITADA-MAGNUM,C. Rioja, Tinto,,,,,,,,,,L.,1.5,,,,,
Bodega RamÃ³n Bilbao,Vino Tinto RamÃ³n Bilbao Reserva Magnum,33.7,1,https://vinopremier.com/vino-tinto-ramon-bilbao-reserva-magnum.html,Mazuela,3808,2016,1.5,Reserva,8413423113035,20 ,"DISTRIBUCIONES TENA MARTINEZ, S.L.",Graciano,Mazuelo,Tempranillo,VT-RAMON-BILBAO-RESERVA-MAGNUM,D.O.C. Rioja,Vino Tinto,,,,,,,,,,L.,1.5,,,
Bodega RamÃ³n Bilbao,Vino Tinto RamÃ³n Bilbao EdiciÃ³n Limitada,15.73,1,https://vinopremier.com/vino-tinto-ramon-bilbao-edicion-limitada.html,Argataca,3841,2020,75.0,Crianza,8413423111239,14 ,Carbonicas Alvarez S.L.,Tempranillo,VT-RAMON-BILBAO-EDICION-LIMITADA,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
,Vino Tinto Ignios Origenes ListÃ¡n Negro ,36.54,1,https://vinopremier.com/vt-listan-negro-crianza.html,ListÃ¡n Negro,3845,2014,75.0,Crianza,,12 ,Meddis Import Export Gourmet,ListÃ¡n Negro,VT-IGNIOS-LISTAN NEGRO-CRIANZA,, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Palacios Remondo,Vino Tinto Propiedad ViÃ±as Viejas,34.61,1,https://vinopremier.com/vino-tinto-propiedad.html,EspaÃ±a,3875,2019,75.0,Crianza,8411580036594,18 ,D.E.R. NAVARRO S.A.,Garnacha,VT-PROPIEDAD-VINAS-VIEJAS,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Palacios Remondo,Vino Tinto La Vendimia Palacios Remondo,12.46,1,https://vinopremier.com/vino-tinto-la-vendimia.html,EspaÃ±a,3877,2020,75.0,Roble,8411580034590,4 ,D.E.R. NAVARRO S.A.,Garnacha,Tempranillo,VT-LA-VENDIMIA,D.O.C. Rioja,Vino Tinto,,,,,,,,,,cl.,75,,,,
Freixenet,Cava Freixenet Reserva Real,31.34,1,https://vinopremier.com/cava-freixenet-reserva-real.html,Vinos Para Halloween - 15%,3906,,75.0,Reserva,8410036008598,,"COMERCIAL GRUPO FREIXENET, S.A.",Macabeo,Parellada,Xarel-lo,CAVA-FREIXENET-RESERVA-REAL,D.O. Cava,Espumoso,,,,,,,,,,cl.,75,,,
Fontana,Vino Tinto Dominio de Fontana Vendimia Seleccionada,14.52,1,https://vinopremier.com/vino-tinto-dominio-de-fontana-vendimia-seleccionada.html,Black Friday - Vinopremier,3927,2016,75.0,Crianza,8437001429738,18 ,"PENINSULA VINICULTORES, S.L",Graciano,Tempranillo,VT-DOMINIO-DE-FONTANA-VS,D.O. UclÃ©s,Vino Tinto,,,,,,,,,,cl.,75,,,,
Zinio Bodegas,Vino Tinto LÃ¡grimas de MarÃ­a Tempranillo Reserva,12.1,1,https://vinopremier.com/vino-tinto-lagrimas-de-maria-tempranillo-reserva.html,EspaÃ±a,4003,2018,75.0,Reserva,8429766261203,36 ,"Bodegas Patrocinio, S.C.L.",Tempranillo,VT-LAGRIMASMARIA-RESERVA,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Pagos del Moncayo,Vino Tinto Prados ColecciÃ³n Syrah,18.21,1,https://vinopremier.com/vino-tinto-prados-coleccion-syrah.html,EspaÃ±a,4029,2020,75.0,Crianza,8437011714039,10 ,Axial Globalizacion de Vinos S.L.,Syrah,VT-PRADOS-COLECCION-SYRAH, Campo de Borja, Tinto,,,,,,,,,,cl.,75,,,,,
Dominio de Nobleza,Vino Tinto Dominio de Nobleza CrianzaÂ ,7.87,1,https://vinopremier.com/vino-tinto-dominio-de-nobleza-crianza-0-75.html,Black Friday - Vinopremier,4155,2019,75.0,Crianza,8437004234001,12 ,Dominio de Nobleza S.L.,Tempranillo,VT-DOMINIO-DE-NOBLEZA-CRIANZA-0-75,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Dominio de Nobleza,Vino Tinto Dominio de Nobleza Crianza Magnum,11.92,1,https://vinopremier.com/vino-tinto-dominio-de-nobleza-crianza-magnum.html,Tempranillo,4157,2017,1.5,Crianza,8437004234018,12 ,Dominio de Nobleza S.L.,Tempranillo,VT-DOMINIO-DE-NOBLEZA-CRIANZA-MAGNUM,C. Rioja, Tinto,,,,,,,,,,L.,1.5,,,,,
Odum,Vino Tinto Odum SelecciÃ³n Monastrell EcolÃ³gico,16.34,1,https://vinopremier.com/vino-tinto-odum-seleccion-monastrell-ecologico.html,Black Friday - Vinopremier,4175,2014,75.0,Roble,606110071949,6 ,JOSE ANTONIO MARTINEZ LOPEZ,Monastrell,VT-ODUM-SELECCION-MONASTRELL-ECOLOGICO,Sin , Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Arraez,Vino Tinto Bala Perdida,7.68,1,https://vinopremier.com/vin-rouge-bala-perdida.html,Garnacha Tintorera,4177,2021,75.0,Roble,8413513001631,4 ,Bodegas Antonio ArrÃ¡ez S.L.,Alicante Bouschet,VT-BALA-PERDIDA, Alicante, Tinto,,,,,,,,,,cl.,75,,,,,
Bodegas Reboreda Morgadio ,Vino Blanco 3 Ura,20.45,1,https://vinopremier.com/vino-blanco-3-ura.html,Argataca,4218,2015,75.0,Joven,8414313003368,4 ,"Comprovino, S.L.",Godello,Loureira,Treixadura,VB-3-URA,D.O. Ribeiro,Vino Blanco,,,,,,,,,,cl.,75,,,
Bodegas OrÃ¡n,Vino Blanco Entremares Semidulce,6.47,1,https://vinopremier.com/vino-blanco-entremares.html,Los MÃ¡s Vendidos del aÃ±o,4226,2022,75.0,,8436570280016,,Bodegas Oran S.L.,Cayetana,MantÃºa,Pardina,VB-ENTREMARES-SEMIDULCE,V.T. Extremadura,Vino Blanco,,,,,,,,,,cl.,75,,,
Bodegas OrÃ¡n,Vino Rosado Entremares Semidulce,6.47,1,https://vinopremier.com/vino-rosado-entremares-semidulce.html,Argataca,4227,2022,75.0,,8436570280023,,Bodegas Oran S.L.,Garnacha,VR-ENTREMARES,V.T. Extremadura, Dulce,,,,,,,,,,cl.,75,,,,,
Lerma,Vino Tinto Risco Roble,6.66,1,https://vinopremier.com/vino-tinto-risco-roble.html,Argataca,4250,2018,75.0,Roble,,,BODEGAS NAVARRO BALBAS S.L.,Tempranillo,VT-RISCO-ROBLE, Arlanza, Tinto,,,,,,,,,,cl.,75,,,,,
Toribio,Vino Blanco ViÃ±a Puebla Mana Fermentado en Barrica,13.25,1,https://vinopremier.com/vino-blanco-vina-puebla-de-tinta-fermentado-en-barrica.html,Black Friday - Vinopremier,4261,2016,75.0,Joven,8423902009025,3 ,BODEGAS TORIBIO S.L.,Garnacha Tinta,VB-VINAPUEBLA-DE-TINTA-FERMENTADOBARRICA,V.T. Extremadura, Blanco,,,,,,,,,,cl.,75,,,,,
Bodegas Arraez,Vino Tinto Conde San Juan,5.81,1,https://vinopremier.com/vino-tinto-conde-san-juan.html,D.O. Valencia,4363,2015,75.0,,8413513000313,,Bodegas Antonio ArrÃ¡ez S.L.,Tempranillo,VT-CONDE-SAN-JUAN, Valencia, Tinto,,,,,,,,,,cl.,75,,,,,
Palacios Vinoteca,Vino Tinto Proelio Crianza,13.25,1,https://vinopremier.com/vino-tinto-proelio-crianza.html,EspaÃ±a,4493,2016,75.0,Crianza,8437015051000,14 ,PALACIOS VINOTECA S.L.,Tempranillo,VT-PROELIO-CRIANZA,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Pago de Larrea,Vino Tinto Caecus Reserva,16.88,1,https://vinopremier.com/vino-tinto-caecus-reserva.html,Vinos Para Halloween - 15%,4498,2018,75.0,Crianza,No Disponible,20 ,PAGO DE LARREA S.A.,Tempranillo,VT-CAECUS-RESERVA,C. Rioja, Tinto,,,,,,,,,,cl.,75,,,,,
Pago de Larrea,Vino Tinto Caecus Joven,5.99,1,https://vinopremier.com/vino-tinto-caecus-joven.html,Argataca,4501,2021,75.0,Joven,No Disponible,,PAGO DE LARREA S.A.,Garnacha,Tempranillo,VT-CAECUS-JOVEN,D.O.C. Rioja,Vino Tinto,,,,,,,,,,cl.,75,,,,
Pago de Larrea,Vino Blanco Caecus VerderÃ³n,6.96,1,https://vinopremier.com/vino-blanco-caecus-verderon.html,Vinos Para Halloween - 15%,4504,2022,75.0,,No Disponible,5 ,PAGO DE LARREA S.A.,Viura,VB-CAECUS-VERDERON,C. Rioja, Blanco,,,,,,,,,,cl.,75,,,,,
Felix Callejo,Vino Tinto Finca Valdelroble,21.72,1,https://vinopremier.com/vino-tinto-finca-valdelroble-750.html,Vinos Para Halloween - 15%,4612,2009,75.0,,8437011692016,,"BODEGAS FELIX CALLEJO, S.A.",Syrah,VT-FINCA-VALDELROBLE-750,V.T. Castilla y LeÃ³n, Tinto,,,,,,,,,,cl.,75,,,,,
Osborne,"Vino Fino Quinta Osborne 37,5cl.",8.71,1,https://vinopremier.com/vino-fino-quinta-osborne.html,Argataca,4672,Sin AÃ±ada,37.5,,8410337008044,48 ,OSBORNE DISTRIBUIDORA S.A,Palomino Fino,VF-OSBORNE-QUINTA, Jerez-Xeres-Sherry y Manzan, Generoso,,,,,,,,,,cl.,75,,,,,
Martini,Vermut Martini Bianco,12.16,1,https://vinopremier.com/vermut-martini-bianco-1l.html,Los MÃ¡s Vendidos del aÃ±o,4684,Sin AÃ±ada,1.0,,5010677925006,,LICORES REYES S.L.U,,VERMUT-MARTINI-BIANCO-1L,Sin ,Vermut,,,,,,,,,,L.,1,,,,,
Venta Don Quijote,Vino Tinto VQ DMatias,6.05,1,https://vinopremier.com/vino-tinto-vq-d-matias.html,Vinos Para Halloween - 15%,4729,2016,75.0,Joven,8437006941211,,"Finca Venta De Don Quijote, S.L.",Tempranillo,VT-VQ-D-MATIAS,IGP Vino de la Tierra de Castilla, Tinto,,,,,,,,,,cl.,75,,,,,
Mureda,Vino Tinto Mureda Syrah,6.35,1,https://vinopremier.com/vino-tinto-mureda-syrah.html,Argataca,4812,2020,75.0,Roble,8437008496061,2 ,MUREDA ALIMENTACION S.L.,Syrah,VT-MUREDA-TINTO-SYRAH, La Mancha, Tinto,,,,,,,,,,cl.,75,,,,,
Mureda,Vino Tinto Mureda Merlot,6.35,1,https://vinopremier.com/vino-tinto-mureda-merlot.html,D.O. La Mancha,4813,2019,75.0,Roble,8437008496054,2 ,MUREDA ALIMENTACION S.L.,Merlot,VT-MUREDA-MERLOT, La Mancha, Tinto,,,,,,,,,,cl.,75,,,,,
Mureda,Vino Blanco Mureda Sauvignon Blanc,6.35,1,https://vinopremier.com/vino-blanco-mureda-sauvignon-blanc.html,Argataca,4815,2020,75.0,Joven,8437008496108,2 ,MUREDA ALIMENTACION S.L.,Sauvignon Blanc,VB-MUREDA-SAUVIGNON-BLANC, La Mancha, Blanco,,,,,,,,,,cl.,75,,,,,
